Wavelength,Deep Blue,LimeGreen,Deep Red,Far Red,CHA,CHB,BC
350,0.130 ,0.000 ,0,0,0,0,0
351,0.151 ,0.000 ,0,0,0,0,0
352,0.216 ,0.000 ,0,0,0,0,0
353,0.000 ,0.000 ,0,0,0,0,0
354,0.000 ,0.000 ,0,0,0,0,0
355,0.216 ,0.000 ,0,0,0,0,0
356,0.302 ,0.000 ,0,0,0,0,0
357,0.000 ,0.000 ,0,0,0,0,0
358,0.000 ,0.000 ,0,0,0,0,0
359,0.173 ,0.000 ,0,0,0,0,0
360,0.324 ,0.000 ,0,0,0,0,0
361,0.194 ,0.000 ,0,0,0,0,0
362,0.065 ,0.000 ,0,0,0,0,0
363,0.302 ,0.000 ,0,0,0,0,0
364,0.130 ,0.000 ,0,0,0,0,0
365,0.108 ,0.000 ,0,0,0,0,0
366,0.281 ,0.000 ,0,0,0,0,0
367,0.000 ,0.000 ,0,0,0,0,0
368,0.065 ,0.000 ,0,0,0,0,0
369,0.151 ,0.000 ,0,0,0,0,0
370,0.022 ,0.000 ,0,0,0,0,0
371,0.151 ,0.000 ,0,0,0,0,0
372,0.130 ,0.000 ,0,0,0,0,0
373,0.173 ,0.000 ,0,0,0,0,0
374,0.238 ,0.000 ,0,0,0,0,0
375,0.259 ,0.000 ,0,0,0,0,0
376,0.238 ,0.000 ,0,0,0,0,0
377,0.302 ,0.000 ,0,0,0,0,0
378,0.194 ,0.000 ,0,0,0,0,0
379,0.130 ,0.000 ,0,0,8.17144814476776,9.77169007311812,4.88122266660962
380,0.151 ,0.000 ,0,0,8.19295195567505,9.79740504699475,4.89406798941649
381,0.216 ,0.000 ,0,0,8.21445576658233,9.82312002087137,4.90691331222335
382,0.259 ,0.000 ,0,0,8.23595957748962,9.848834994748,4.5097787487777
383,0.108 ,0.000 ,0,0,9.08320972723659,9.87454996862463,4.52155362801733
384,0.065 ,0.000 ,0,0,9.1068639192346,9.90026494250125,4.12120773386996
385,0.216 ,0.000 ,0,0,9.13051811123261,9.92597991637788,3.96663568276066
386,0.194 ,0.000 ,0,0,9.9863697853425,9.9516948902545,3.76978111074541
387,0.238 ,0.000 ,0,0,10.0121743584312,9.97740986413113,3.6133893055718
388,0.151 ,0.000 ,0,0,10.4562280536666,10.0031248380078,3.49778140031
389,0.216 ,0.000 ,0,0,10.9024321299928,10.0288398118844,3.38153122890785
390,0.389 ,0.000 ,0,0,11.771186090647,10.4269457037522,3.34834747832344
391,0.281 ,0.000 ,0,0,12.2227661197,10.4536130840687,3.31494963902558
392,0.518 ,0.000 ,0,0,12.2539466455156,11.228871926127,3.32340614320677
393,0.367 ,0.000 ,0,0,13.5560023959516,11.632692256634,3.37403812393717
394,0.389 ,0.000 ,0,0,13.5904084934032,12.0384174000208,3.42488419338102
395,0.346 ,0.000 ,0,0,13.6248145908549,12.8232003064778,3.51833391680098
396,0.367 ,0.000 ,0,0,14.9397726278353,13.233687482064,3.61221181764784
397,0.432 ,0.000 ,0,0,14.977404296923,14.0251372336001,3.70651789592159
398,0.432 ,0.000 ,0,0,15.8730380212114,14.4403864413857,3.84396284995507
399,0.432 ,0.000 ,0,0,15.9128200713899,15.238503038001,3.93923232743934
400,0.583 ,0.187 ,0,0,16.3837535302594,15.6585142779859,4.07785476939679
401,0.605 ,0.130 ,0,0,16.8568373702196,16.0804303308505,4.17408764609157
402,0.670 ,0.259 ,0,0,17.3320715912706,16.5042511965949,4.27074870021324
403,0.713 ,0.173 ,0,0,17.3750792130851,16.5452046735095,4.32459201164536
404,0.972 ,0.086 ,0,0,18.2889911766447,16.9718827585736,4.33529644731775
405,0.907 ,0.317 ,0,0,18.33414917955,17.0137886419281,4.78060097128916
406,0.994 ,0.346 ,0,0,18.8169097344185,17.4433239463117,4.79237585052878
407,1.145 ,0.446 ,0,0,18.8631429278692,17.4861822361061,4.80415072976841
408,1.555 ,0.432 ,0,0,19.3491290543738,17.5290405259005,5.25373702800877
409,1.534 ,0.562 ,0,0,20.2780936855684,17.5718988156949,5.26658235081564
410,1.793 ,0.634 ,0,0,20.7694557647998,17.6147571054892,5.71937997975772
411,2.009 ,0.634 ,0,0,21.262968225122,17.6576153952836,6.17431849583427
412,2.419 ,0.763 ,0,0,21.7586310665349,17.3071298254096,6.6313978990453
413,2.830 ,0.965 ,0,0,22.7015731748193,17.3490357087641,7.09061818939081
414,3.024 ,1.008 ,0,0,23.202611968959,17.7861902646668,7.5519793668708
415,3.845 ,1.138 ,0,0,24.1530804110609,17.8290485544611,8.46078595545667
416,4.579 ,1.296 ,0,0,24.6594951579275,18.2690603296834,8.92749935077285
417,5.270 ,1.368 ,0,0,26.0669195818092,19.1090828096532,9.8437990443294
418,6.178 ,1.714 ,0,0,27.0302903104555,19.5538566170749,10.7643805121549
419,7.625 ,1.915 ,0,0,27.5463817722303,20.8005566468713,11.6892437542493
420,8.446 ,1.958 ,0,0,28.5172788346941,22.052971115307,12.6183887706128
421,10.822 ,2.333 ,0,0,28.5850158390521,23.311100022382,13.5518155612451
422,12.722 ,2.578 ,0,0,29.5623640447881,24.5749433680962,14.0367264972044
423,14.580 ,2.678 ,0,0,29.6322514302368,25.8445011524496,14.9776463928074
424,17.712 ,2.995 ,0,0,30.616050779245,26.7150006384954,15.4679095466028
425,21.125 ,3.283 ,0,0,30.6880885457844,27.5893097503007,15.9603135875328
426,24.559 ,3.370 ,0,0,30.3010199494533,28.4674284878656,15.9977791123861
427,28.750 ,3.614 ,0,0,30.8321640788632,28.5340969386568,16.4933944840178
428,33.372 ,3.816 ,0,0,30.9042018454026,28.1921830267417,16.5319304524384
429,39.398 ,4.075 ,0,0,30.976239611942,27.8483643019468,16.570466420859
430,45.490 ,3.902 ,0,0,31.5116845035334,26.6816664130998,16.1476412117996
431,52.121 ,4.666 ,0,0,32.0492797762155,24.6863749215616,16.1851067366529
432,58.925 ,4.694 ,0,0,32.1234679238456,22.2691673771587,16.2225722615063
433,67.176 ,4.910 ,0,0,32.1976560714757,19.8405309554773,16.2600377863597
434,76.118 ,4.939 ,0,0,32.7395521063393,16.571872053826,16.297503311213
435,85.147 ,4.882 ,0,0,33.2835985222935,13.7032238569224,16.8016822313826
436,95.710 ,4.997 ,0,0,33.8297953193385,11.2374435840858,17.3080020386866
437,107.698 ,5.184 ,0,0,34.3781424974743,8.7602344339708,17.8164627331251
438,119.772 ,5.429 ,0,0,34.9286400567007,7.10780926078757,18.796989040716
439,131.846 ,5.558 ,0,0,35.9543718369782,5.86682366963037,20.252792292161
440,146.858 ,5.645 ,0,0,36.984404379437,4.62012363983392,21.7150182050094
441,161.849 ,5.731 ,0,0,38.0187376840774,3.70448008853803,23.6568028359808
442,177.271 ,5.904 ,0,0,38.1047529277065,2.99560397533903,26.081357515777
443,190.642 ,5.990 ,0,0,39.145537375619,2.3257765261749,28.5166166312457
444,202.738 ,6.365 ,0,0,39.712162793026,1.86481180927537,31.438927569808
445,210.600 ,6.581 ,0,0,40.760473574756,1.5291837798634,34.3740838311772
446,214.704 ,7.013 ,0,0,40.851864771112,1.31974960373487,37.3220854153533
447,216.000 ,7.402 ,0,0,41.4249413317911,1.06669521266007,39.8033736042132
448,210.535 ,7.373 ,0,0,41.5174077186924,0.940787081308584,42.7759953904357
449,200.664 ,7.474 ,0,0,42.0937098510076,0.857165795887554,45.2797628942076
450,187.423 ,7.459 ,0,0.0312,42.6721623644136,0.644302956575478,46.8286947360024
451,168.005 ,7.502 ,0.4536,0.0168,41.7948068793964,0.645731566235291,47.9002087468086
452,151.589 ,7.157 ,0.4536,0.024,41.8872732662977,0.560872152442423,48.4910935959245
453,134.676 ,6.768 ,0.3024,0.024,41.4916031456037,0.518871028443933,48.1121565731219
454,118.692 ,6.293 ,0.2808,0.0168,41.0937826438189,0.476679423157468,47.2440268400911
455,104.782 ,5.818 ,0.4104,0.0192,40.2035248722574,0.425611389851367,45.8834930661304
456,92.988 ,5.429 ,0.2808,0.012,39.8003284177458,0.391724768720612,44.0273439205381
457,82.858 ,4.896 ,0.2592,0.024,39.3949815821435,0.410030020495011,41.6723680726124
458,75.492 ,4.680 ,0.3672,0.0168,38.4939719051284,0.349723644722122,38.8153541916516
459,69.811 ,4.363 ,0.1728,0.0144,37.5886614659317,0.341723430627172,35.945494987884
460,65.102 ,4.075 ,0.2376,0.0048,36.6790502645536,0.36002868240157,33.0627904613095
461,60.415 ,4.003 ,0.1728,0.012,36.2618763329523,0.352009420177822,30.1672406119281
462,55.469 ,3.787 ,0.1944,0.012,35.3447387977567,0.291036359897021,27.2588454397399
463,50.328 ,3.744 ,0.3024,0.0072,35.4210773264775,0.304922445790399,24.3376049447448
464,45.922 ,3.773 ,0.2376,0.0168,34.4974886480097,0.305579606233913,21.4035191269428
465,41.256 ,3.874 ,0.1296,0.012,34.5716767956398,0.284045696628338,18.9554146886674
466,36.418 ,3.816 ,0.2376,0.012,34.1437509585849,0.280207498675641,16.4966058147195
467,31.946 ,3.787 ,0.0216,0.0168,34.2168639156697,0.231777631207995,14.528060094567
468,28.490 ,3.974 ,0.1296,0.0144,34.2899768727544,0.281407530789884,12.5509508258767
469,25.121 ,3.974 ,0.1944,0.012,34.3630898298392,0.295436477649244,10.5652780086484
470,21.816 ,4.147 ,0.1728,0.0096,34.9426175337905,0.242235053917823,9.07522056305183
471,18.986 ,4.018 ,0.0648,0.0144,35.0168056814206,0.296693654149879,7.57874045605178
472,16.783 ,3.974 ,0.0216,0.0168,35.0909938290507,0.32435153716385,6.58215749495231
473,15.271 ,3.874 ,0.1296,0.0024,35.6748222951835,0.306979643700529,5.58129275958389
474,14.105 ,3.816 ,0.1296,0.0144,36.2608011424069,0.280483696543205,4.52530018050267
475,12.960 ,3.989 ,0.108,0.012,35.8253489715345,0.358142917650618,3.87243664884363
476,11.664 ,3.830 ,0.0864,0.0144,35.3877464195712,0.313465531556079,3.31891028022437
477,10.735 ,3.845 ,0.0648,0.0072,36.4898167285695,0.273150166956167,2.8141961382712
478,9.526 ,4.162 ,0.0864,0.0072,36.0511389860609,0.392334308842132,2.4611638497958
479,8.597 ,4.291 ,0.1728,0.012,36.1264023242364,0.379438725646224,2.15801423155373
480,7.776 ,4.723 ,0.0648,0,35.1673323577716,0.343580623184928,1.95655675219936
481,7.301 ,4.838 ,0.0216,0.0072,34.7222034719908,0.348885527055032,1.75424291799119
482,6.286 ,5.429 ,0.1512,0.012,34.2749242051193,0.395610586995302,1.60277515322688
483,5.746 ,5.731 ,0.1944,0.0096,32.7847101092446,0.396429656533595,1.50247459097659
484,5.033 ,6.235 ,0.1296,0.0096,31.8095122845992,0.420344582238858,1.34982933828832
485,4.730 ,6.739 ,0.1512,0.0144,31.3525563028195,0.462869529779279,1.30058893419533
486,4.104 ,7.301 ,0.108,0.0144,29.3225965531719,0.463821936219154,1.35539564483796
487,3.499 ,7.949 ,0,0.0144,27.8087282652991,0.511251776924932,1.30594115203152
488,3.175 ,8.683 ,0.1296,0.0144,26.8141770108373,0.512299424008795,1.25627257051163
489,3.002 ,9.605 ,0.1296,0.0072,25.2884816269655,0.513347071092657,1.2063899002783
490,2.743 ,10.714 ,0.0864,0.0144,23.7563350998215,0.51439471817652,1.20885192048295
491,2.398 ,11.621 ,0.0216,0.0096,22.2177374294054,0.562300762102236,1.2113139406876
492,2.160 ,12.946 ,0.2376,0.0096,21.2027575545816,0.516490012344245,1.21377596089225
493,2.160 ,14.832 ,0.108,0.0168,19.6523327881665,0.47048878129828,1.2162379810969
494,1.879 ,16.531 ,0.1512,0.0144,17.5632375585239,0.612873544059601,1.21870000130155
495,1.793 ,18.590 ,0.0216,0.0048,16.5321298255196,0.47239359417803,1.2211620215062
496,1.728 ,20.390 ,0.0864,0.0072,14.9623516292879,0.520680600679695,1.22362404171085
497,1.534 ,23.040 ,0.1728,0.0048,13.386122289784,0.569158088469336,1.22608606191549
498,1.534 ,25.978 ,0.0432,0.0072,12.3399618891447,0.570300976197186,1.22854808212014
499,1.382 ,28.742 ,0.0432,0.012,11.2895007263239,0.523823541931283,1.23101010232479
500,1.210 ,32.026 ,0.108,0.0144,10.2347388013216,0.572586751652886,1.23347212252944
501,1.210 ,35.424 ,0.1296,0.0096,9.17567611413791,0.525918836099008,1.23593414273409
502,1.145 ,39.355 ,0.108,0.0072,8.65313350909092,0.574872527108586,1.23839616293874
503,1.015 ,42.278 ,0.1728,0.0048,7.04464845322611,0.528014130266733,1.24085818314339
504,1.102 ,47.405 ,0.216,0.0144,6.51565470490693,0.577158302564286,1.24332020334804
505,0.907 ,51.509 ,0.0648,0.012,5.98451057549702,0.578301190292136,1.24578222355269
506,0.864 ,56.290 ,0.1944,0.0096,5.2876795830465,0.579444078019987,1.24824424375734
507,0.821 ,60.394 ,0.1296,0.0072,4.58805309517803,0.532204718602184,1.25070626396199
508,0.713 ,65.808 ,0.0864,0.012,3.88563111189161,0.581729853475687,1.25316828416664
509,0.713 ,70.733 ,0.0216,0,3.78359552913655,0.631445469637165,1.31022292630048
510,0.691 ,74.362 ,0.1296,0.012,3.40641868582279,0.584015628931387,1.31279199086185
511,0.670 ,79.574 ,0.1512,0.012,2.80753755205494,0.585158516659237,1.26055434478059
512,0.691 ,83.966 ,0.108,0.0072,2.75786374885912,0.635159854752678,1.3179301199846
513,0.691 ,87.998 ,0.1944,0.0144,2.48691573142735,0.734305365143671,1.32049918454597
514,0.648 ,93.197 ,0.1512,0.0168,2.27026483653647,0.637636111496353,1.32306824910734
515,0.626 ,97.258 ,0.0864,0.0096,1.71987479636454,0.78630675676085,1.38087220173825
516,0.540 ,101.405 ,0.1728,0.012,1.61203318466451,0.83707002000619,1.38354831065634
517,0.583 ,105.725 ,0.0864,0.0144,1.50376149674634,0.888023764539506,1.38622441957444
518,0.583 ,109.613 ,0.0432,0.0168,1.61826928982763,0.840308201901766,1.38890052849254
519,0.583 ,112.133 ,0.0216,0.0168,1.17410807553768,0.940977562596559,1.44723970290706
520,0.583 ,116.294 ,0.0216,0.012,1.51247054016379,0.942787134832322,1.50579296603503
521,0.540 ,118.858 ,0.0648,0.0096,1.45924860816826,0.994312323229563,1.50868316366658
522,0.540 ,120.974 ,0.1296,0.012,0.955951913883292,1.09583884972024,1.51157336129812
523,0.475 ,123.912 ,0.1512,0.0144,0.56339984577083,1.04802804643852,1.57055480185299
524,0.562 ,126.590 ,0.1296,0.0144,0.733817547211052,1.15003077614914,1.6297503311213
525,0.475 ,128.506 ,0.216,0.0192,0.622105249547714,1.10212473222342,1.68915994910306
526,0.475 ,130.666 ,0.1296,0.0192,0.113325083481385,1.10422002639114,1.69237127980478
527,0.346 ,132.034 ,0.1728,0.0168,0.738010790337973,1.15660238058427,1.80862145120693
528,0.475 ,133.099 ,0.1512,0.012,1.08067401714554,1.10841061472659,1.86867333532904
529,0.454 ,135.778 ,0.1728,0.0192,0.797791384660221,1.21146099152108,1.92893930816459
530,0.367 ,136.253 ,0.1728,0.0048,0.559507655996612,1.21374676697678,1.98941936971359
531,0.454 ,138.557 ,0.1512,0.0168,0.629201507147118,1.16536451983112,2.05011351997604
532,0.346 ,138.874 ,0.1296,0.0168,0.630384216747018,1.16755505464284,2.11102175895194
533,0.367 ,139.378 ,0.1944,0.0096,0.19521159541632,1.16974558945455,2.17214408664128
534,0.410 ,140.602 ,0.0864,0.012,0.166815813113252,1.22288986879958,2.23348050304407
535,0.432 ,140.846 ,0.1728,0.0168,0.426463577913248,1.12307767390067,2.29503100816031
536,0.432 ,141.379 ,0.1512,0.0192,0.35797394017355,1.1251729680684,2.29931278242927
537,0.389 ,142.085 ,0.3888,0.0192,-0.144613128351482,1.07602879577084,2.36118442061568
538,0.346 ,142.834 ,0.216,0.012,0.753386015136681,1.12936355640385,2.42327014751554
539,0.432 ,143.050 ,0.216,0.0168,0.754783762845654,1.02859895506506,2.48556996312884
540,0.367 ,143.093 ,0.2592,0.0144,0.331556508473952,1.03050376794482,2.49017287046797
541,0.389 ,142.286 ,0.1944,0.0192,0.425409891178791,0.980788151783337,2.4947757778071
542,0.367 ,143.179 ,0.2376,0.0216,0.449547918922217,0.930882054333884,2.5575037708473
543,0.367 ,143.582 ,0.216,0.0144,0.210565316404121,1.03621820658407,2.56221372254315
544,0.302 ,143.597 ,0.2592,0.0216,0.25783069277833,0.882404566544243,2.56692367423901
545,0.259 ,144.000 ,0.3024,0.0264,0.358102963038994,0.884023657492031,2.6300798447061
546,0.367 ,143.006 ,0.3672,0.024,0.705755073977048,0.885642748439819,2.63489684075868
547,0.302 ,143.136 ,0.3888,0.0264,0.477255579276252,0.887261839387606,2.63971383681125
548,0.302 ,142.258 ,0.4104,0.0264,0.336459377360813,0.888880930335394,2.64453083286383
549,0.302 ,142.517 ,0.4752,0.024,0.508565127957257,0.890500021283181,2.6493478289164
550,0.367 ,141.538 ,0.4536,0.0312,0.651672989545229,0.944596707068085,2.65416482496898
551,0.324 ,141.797 ,0.4536,0.0336,-0.183986606122718,0.998883874140963,2.65898182102155
552,0.302 ,142.459 ,0.5184,0.048,0.231886344918693,1.05336152250182,2.66379881707413
553,0.324 ,142.574 ,0.54,0.0504,0.089348334319763,1.05526633538157,2.6686158131267
554,0.346 ,141.365 ,0.6264,0.0504,0.280463453758246,1.16288826308745,2.67343280917928
555,0.259 ,140.472 ,0.6912,0.048,0.004902008734424,1.21793735531223,2.73776646757034
556,0.194 ,140.616 ,0.864,0.0624,0.562948265741777,1.32622596752602,2.74269050797964
557,0.259 ,139.781 ,0.9288,0.0624,0.173987334050832,1.32860698362571,2.74761454838894
558,0.324 ,139.147 ,1.0584,0.06,0.384660169509489,1.43746703970343,2.8123763842069
559,0.281 ,137.650 ,1.1016,0.084,0.445558961998916,1.49337329772409,2.81740746897292
560,0.238 ,138.845 ,1.3824,0.0888,0.301590947974652,1.60290003830973,2.88249043786105
561,0.216 ,137.779 ,1.5336,0.096,0.422979960546268,1.76633298339229,2.8876285669838
562,0.238 ,138.312 ,1.5768,0.1128,-0.078693196015204,1.82309640720884,2.95303266894209
563,0.216 ,138.226 ,1.7712,0.12,-0.181922240275619,1.82633458910442,2.95827784242157
564,0.281 ,138.053 ,1.9872,0.1224,0.607482658130761,1.93719469870587,2.96352301590104
565,0.259 ,136.339 ,2.3544,0.1464,0.480760700454139,2.04843577088328,2.96876818938051
566,0.238 ,134.611 ,2.6136,0.1632,-0.073155964706579,2.10605636049572,2.97401336285998
567,0.259 ,133.618 ,3.1968,0.1872,-0.164891222037051,2.16386743139614,2.97925853633945
568,0.194 ,132.912 ,3.4992,0.2064,0.073414010437466,2.22186898358453,2.98450370981892
569,0.281 ,133.430 ,3.8448,0.2232,0.251272030451609,2.28006101706089,2.98974888329839
570,0.194 ,133.358 ,4.2552,0.2544,0.466589689066239,2.33844353182523,2.99499405677786
571,0.194 ,132.739 ,4.9248,0.2808,0.067650989114314,2.4514941762384,3.00023923025733
572,0.238 ,131.242 ,5.7672,0.3216,0.184825254748102,2.45578000521784,3.0054844037368
